scenario_id;test_type;technology;users_chatroom;users_server;chatrooms;senders_per_chat_ratio;payload_size_bytes;interval_ms;avg_message_time_ms;min_message_time_ms;max_message_time_ms;throughput;error_rate;cpu_avg;cpu_max;ram_avg;ram_max
373;scalability_all_to_all;SignalR;50;50;1;1;10000;200;183,4;172;198;;0;;;;
374;scalability_all_to_all;WebSockets;50;50;1;1;10000;200;157,2;148;169;;0;;;;
375;scalability_all_to_all;Polling;50;50;1;1;10000;200;1255,7;998;1554;;40;;;;
376;scalability_all_to_all;SSE;50;50;1;1;10000;200;673;587;734;;20;;;;
377;scalability_all_to_all;SocketIO;50;50;1;1;10000;200;410,8;309;465;;20;;;;
378;scalability_all_to_all;gRPC;50;50;1;1;10000;200;294,6;276;314;;0;;;;
379;scalability_multi_room;SignalR;10;20;2;1;10000;200;99;90;105;;0;;;;
380;scalability_multi_room;WebSockets;10;20;2;1;10000;200;72;68;78;;0;;;;
381;scalability_multi_room;Polling;10;20;2;1;10000;200;257,6;217;298;;0;;;;
382;scalability_multi_room;SSE;10;20;2;1;10000;200;173,8;134;199;;0;;;;
383;scalability_multi_room;SocketIO;10;20;2;1;10000;200;124,2;112;134;;0;;;;
384;scalability_multi_room;gRPC;10;20;2;1;10000;200;103,4;99;109;;0;;;;
385;scalability_multi_room;SignalR;10;50;5;1;10000;200;106,2;97;111;;0;;;;
386;scalability_multi_room;WebSockets;10;50;5;1;10000;200;94;88;100;;0;;;;
387;scalability_multi_room;Polling;10;50;5;1;10000;200;494;398;576;;0;;;;
388;scalability_multi_room;SSE;10;50;5;1;10000;200;225,6;198;270;;0;;;;
389;scalability_multi_room;SocketIO;10;50;5;1;10000;200;166,2;140;225;;0;;;;
390;scalability_multi_room;gRPC;10;50;5;1;10000;200;134;104;188;;0;;;;
391;scalability_multi_room;SignalR;10;100;10;1;10000;200;232,4;205;253;;0;;;;
392;scalability_multi_room;WebSockets;10;100;10;1;10000;200;104,8;94;115;;0;;;;
393;scalability_multi_room;Polling;10;100;10;1;10000;200;3934,6;2986;5128;;0;;;;
394;scalability_multi_room;SSE;10;100;10;1;10000;200;585,3;513;639;;20;;;;
395;scalability_multi_room;SocketIO;10;100;10;1;10000;200;672;571;765;;0;;;;
396;scalability_multi_room;gRPC;10;100;10;1;10000;200;241,6;233;256;;0;;;;
397;throughput_chatroom;SignalR;10;10;1;1;10000;200;;;;1,61;0;;;;
398;throughput_chatroom;WebSockets;10;10;1;1;10000;200;;;;1,91;0;;;;
399;throughput_chatroom;Polling;10;10;1;1;10000;200;;;;1,36;0;;;;
400;throughput_chatroom;SSE;10;10;1;1;10000;200;;;;1,23;7,79;;;;
401;throughput_chatroom;SocketIO;10;10;1;1;10000;200;;;;1,49;0;;;;
402;throughput_chatroom;gRPC;10;10;1;1;10000;200;;;;2,14;0;;;;
403;throughput_chatroom;SignalR;30;30;1;1;10000;200;;;;1,4;0;;;;
404;throughput_chatroom;WebSockets;30;30;1;1;10000;200;;;;1,64;0;;;;
405;throughput_chatroom;Polling;30;30;1;1;10000;200;;;;0,89;5,65;;;;
406;throughput_chatroom;SSE;30;30;1;1;10000;200;;;;1,02;34,56;;;;
407;throughput_chatroom;SocketIO;30;30;1;1;10000;200;;;;1,11;0;;;;
408;throughput_chatroom;gRPC;30;30;1;1;10000;200;;;;1,67;0;;;;
409;throughput_chatroom;SignalR;50;50;1;1;10000;200;;;;0,47;0;;;;
410;throughput_chatroom;WebSockets;50;50;1;1;10000;200;;;;0,65;0;;;;
411;throughput_chatroom;Polling;50;50;1;1;10000;200;;;;0,22;16,94;;;;
412;throughput_chatroom;SSE;50;50;1;1;10000;200;;;;0,32;61,39;;;;
413;throughput_chatroom;SocketIO;50;50;1;1;10000;200;;;;0,35;8,58;;;;
414;throughput_chatroom;gRPC;50;50;1;1;10000;200;;;;1,02;5,51;;;;
415;spike_chatroom;SignalR;10;10;1;1;10000;200;127;;;1,45;0;67,2;75,9;66,4;69,2
416;spike_chatroom;WebSockets;10;10;1;1;10000;200;94;;;1,71;0;56,8;64,2;63,1;68,8
417;spike_chatroom;Polling;10;10;1;1;10000;200;290;;;1,12;0;81;89,7;77,3;83,6
418;spike_chatroom;SSE;10;10;1;1;10000;200;243;;;1,04;6,94;69,9;76,3;75,3;80,8
419;spike_chatroom;SocketIO;10;10;1;1;10000;200;135;;;1,34;0;74,1;79,7;63,6;71,2
420;spike_chatroom;gRPC;10;10;1;1;10000;200;129;;;1,92;0;52,7;61,5;66,3;70,5
421;spike_chatroom;SignalR;30;30;1;1;10000;200;216;;;1,23;0;75,1;78,4;86,5;89,9
422;spike_chatroom;WebSockets;30;30;1;1;10000;200;131;;;1,55;0;61,1;70,5;83,2;86,7
423;spike_chatroom;Polling;30;30;1;1;10000;200;487;;;0,77;7,98;86,6;90,2;86,9;91,4
424;spike_chatroom;SSE;30;30;1;1;10000;200;355;;;0,93;15,28;74,1;81,9;87,7;90,6
425;spike_chatroom;SocketIO;30;30;1;1;10000;200;318;;;1;0;77,3;82,5;87,4;88,9
426;spike_chatroom;gRPC;30;30;1;1;10000;200;267;;;1,56;0;59,8;65,4;81,4;85,4
